[TOUCHLOG] t=12606ms line line_after=low raw=[06, 03, 06, dd, 00, 01, ab, 00, 00, 00, 3c, 4a, 09, 07, 09] parsed=Points([TouchPoint { x: 404, y: 356 }])
[TOUCHLOG] t=12683ms line line_after=low raw=[06, 04, 0a, 1b, 00, 02, ab, 16, 17, 0c, ea, 03, ab, 00, 00] parsed=Points([TouchPoint { x: 400, y: 294 }, TouchPoint { x: 83, y: 263 }])
[TOUCHLOG] t=12696ms line line_after=low raw=[06, 04, 0b, 25, 00, 02, ab, 16, 17, 0d, a0, 0a, ab, 00, 00] parsed=Points([TouchPoint { x: 399, y: 284 }, TouchPoint { x: 87, y: 257 }])
[TOUCHLOG] t=12726ms line line_after=low raw=[16, 11, 0d, 68, 80, 01, ab, 80, 00, 00, 3c, 0b, ab, 80, 00] parsed=CoverGesture
[TOUCH] cover accepted, recalibrating
[TOUCHLOG] t=12753ms line line_after=low raw=[16, 10, 0d, 9b, 80, 01, ab, 80, 00, 00, 3c, 0b, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=12783ms line line_after=low raw=[16, 0f, 0e, 66, 80, 01, ab, 80, 00, 00, 3c, 0b, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=12805ms line line_after=low raw=[16, 0f, 0e, 0b, 80, 01, ab, 80, 00, 00, 3c, 0b, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=12831ms line line_after=low raw=[16, 0c, 10, fc, 80, 01, ab, 80, 00, 00, 3c, 0b, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=12836ms line line_after=low raw=[16, 0b, 12, 64, 80, 01, ab, 80, 00, 00, 3c, 0b, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=12852ms line line_after=low raw=[06, 17, 08, bf, 80, 02, ab, 16, 0a, 12, eb, 0d, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=12856ms line line_after=low raw=[06, 17, 08, bf, 80, 02, ab, 16, 0a, 12, bf, 01, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=12869ms line line_after=low raw=[06, 17, 08, bf, 80, 02, ab, 16, 0a, 12, af, 01, ab, 80, 00] parsed=CoverGesture
[TOUCHLOG] t=12873ms line line_after=low raw=[06, 17, 08, bf, 80, 02, ab, 16, 0a, 13, 90, 03, ab, 80, 00] parsed=CoverGesture
