[TOUCHLOG] t=10233ms line line_after=high raw=[06, 01, 0e, ed, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 435, y: 228 }])
[TOUCHLOG] t=10261ms line line_after=low raw=[06, 01, 0e, ed, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 435, y: 228 }])
[TOUCHLOG] t=10292ms line line_after=high raw=[06, 01, 0e, ed, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 435, y: 228 }])
[TOUCHLOG] t=10337ms line line_after=high raw=[06, 03, 0e, 85, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 409, y: 236 }])
[TOUCHLOG] t=10395ms poll line_after=high raw=[06, 04, 0e, a4, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 391, y: 237 }])
[TOUCHLOG] t=10426ms poll line_after=high raw=[06, 05, 0e, 56, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 380, y: 235 }])
[TOUCHLOG] t=10460ms poll line_after=low raw=[06, 06, 0e, 57, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 364, y: 234 }])
[TOUCHLOG] t=10494ms poll line_after=high raw=[06, 07, 0e, b8, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 342, y: 233 }])
[TOUCHLOG] t=10527ms poll line_after=high raw=[06, 08, 0e, b8, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 326, y: 233 }])
[TOUCHLOG] t=10560ms poll line_after=low raw=[06, 09, 0e, b8, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 310, y: 233 }])
[TOUCHLOG] t=10594ms poll line_after=high raw=[06, 0a, 0e, f4, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 290, y: 237 }])
[TOUCHLOG] t=10628ms poll line_after=high raw=[06, 0b, 0e, 82, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 281, y: 239 }])
[TOUCHLOG] t=10662ms line line_after=high raw=[06, 0b, 0e, e1, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 275, y: 240 }])
[TOUCHLOG] t=10695ms poll line_after=high raw=[06, 0c, 0d, 7f, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 266, y: 242 }])
[TOUCHLOG] t=10727ms poll line_after=high raw=[06, 0c, 0d, de, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 260, y: 243 }])
[TOUCHLOG] t=10760ms poll line_after=low raw=[06, 0d, 0d, 2e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 255, y: 243 }])
[TOUCHLOG] t=10792ms line line_after=high raw=[06, 0d, 0d, 3e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 254, y: 243 }])
[TOUCHLOG] t=10825ms poll line_after=high raw=[06, 0d, 0d, 3e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 254, y: 243 }])
[TOUCHLOG] t=10857ms poll line_after=high raw=[06, 0d, 0d, 3e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 254, y: 243 }])
[TOUCHLOG] t=10889ms poll line_after=low raw=[06, 0d, 0d, 3e, 00, 01, ab, 00, 00, 00, 3c, 0d, ab, 80, 00] parsed=Points([TouchPoint { x: 254, y: 243 }])
